date,concentration
2016-07-17 23:00:00,22
2016-07-18 00:00:00,37
2016-07-18 01:00:00,18
2016-07-18 02:00:00,28
2016-07-18 03:00:00,28
2016-07-18 04:00:00,44
2016-07-18 05:00:00,44
2016-07-18 06:00:00,39
2016-07-18 07:00:00,38
2016-07-18 08:00:00,49
2016-07-18 09:00:00,21
2016-07-18 10:00:00,17
2016-07-18 11:00:00,10
2016-07-18 12:00:00,15
2016-07-18 13:00:00,14
2016-07-18 14:00:00,14
2016-07-18 15:00:00,17
2016-07-18 16:00:00,15
2016-07-18 17:00:00,14
2016-07-18 18:00:00,25
2016-07-18 19:00:00,15
2016-07-18 20:00:00,18
2016-07-18 21:00:00,15
2016-07-18 22:00:00,18
